Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
1/2/2013,23.32554436,13767900,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/3/2013,23.13294601,16739300,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/4/2013,22.84070778,21372100,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/7/2013,22.8871994,17897100,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/8/2013,22.38907433,17863300,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/9/2013,22.51527405,18800400,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/10/2013,22.58168411,15658100,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/11/2013,22.74970245,11191500,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/14/2013,22.91100502,11584900,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/15/2013,23.25375366,13040200,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/16/2013,23.88550949,16512700,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/17/2013,24.47692871,14424800,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/18/2013,25.08179665,17842200,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/22/2013,24.47692871,15809700,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/23/2013,25.40439034,10981600,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/24/2013,25.17588806,11327100,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/25/2013,25.26997566,8934600,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
1/28/2013,24.79281044,7140100,2.546326971,14.50639226,11.37878449,1.845383718,3.860525184,15.35,2.27,14.26,2.11,23.65,7.03,49.54,24.42,-5.09,257.66,6.78,3.36,5.28,7976,3363,5206,3941,1821,2130,1540,0.98,3.161312946,12.68759533,10.72013551,27.01
