Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,16.65900612,21521259,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/1/2009,16.30975723,25387453,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/2/2009,15.84875488,36582534,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/3/2009,15.40871048,29112964,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/6/2009,15.14328098,35521676,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/7/2009,14.98961067,27135473,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/8/2009,15.25154114,32478116,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/9/2009,15.37728214,31234681,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/13/2009,15.64160824,20969362,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/14/2009,15.7579174,28324510,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
4/15/2009,15.03540134,55736974,3.762633487,5.48774349,19.00511137,11.64,3.505443099,18.01,1.53,14.85,1.26,27.45,1.53,28.69037533,12.25350682,6.188370328,0,11.77,17.98,5.897670653,7188.480844,19967.10352,7518.894236,4357.144908,1584.627904,2128.297505,1310.045603,0.851957457,1.05930062,1.341567308,4.972764736,51.91109383
