Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,10.06891823,4687600,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
4/1/2009,10.19673729,5780600,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
4/2/2009,10.07176018,5042600,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
4/3/2009,9.924062729,4684600,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
4/6/2009,9.975191116,2702000,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
4/7/2009,9.72808075,3084400,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
4/8/2009,9.799089432,4343800,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
4/9/2009,9.628669739,2635000,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
4/13/2009,9.72808075,1426400,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
4/14/2009,9.77920723,3068600,2.54336243,4.740549425,10.68862244,8.248629781,3.740275808,15.85,1.13,14.15,1.01,30.99,2,40.2215002,14.56422376,-1.41040288,-344.9778027,14.05,15.53,7.367910105,7896.883786,17959.53765,7948.351499,6505.064119,2826.298825,3355.356562,2010.664255,0.69734674,1.148755935,1.69353561,3.750801627,55.02843817
