Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,13.73560715,24487600,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/1/2009,13.96443272,25371200,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/2/2009,13.55763626,20906500,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/3/2009,12.82032871,21715600,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/6/2009,13.03643417,15615600,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/7/2009,12.89660645,11655500,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/8/2009,12.97287655,11139200,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/9/2009,12.82668495,13085700,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/13/2009,12.80125618,9137800,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/14/2009,12.61057472,13623600,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/15/2009,12.91567039,11255500,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/16/2009,12.93474007,13300600,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/17/2009,13.1381321,12649400,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/20/2009,12.80761719,12116800,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/21/2009,12.71227074,11755400,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/22/2009,12.59150791,11212100,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
4/23/2009,12.82032871,12344300,5.315267051,3.156944542,8.252893766,6.64,1.884284057,15.38,2.32,13.64,2.06,16.56,1.26,75.92118655,34.8940636,6.919826309,151.2033959,6.63,13.13,10.58925635,9123.662821,13897.97995,4674.178711,3403.63872,1364.612102,1548.447247,3284.735098,1.506290814,1.783102837,1.950160122,8.397859309,31.0467136
