Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,19.45338058,7036865,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/1/2009,18.83986664,13157816,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/2/2009,19.52514648,9934444,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/3/2009,19.3170433,5918617,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/6/2009,19.3923912,5996965,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/7/2009,18.94391823,5507616,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/8/2009,18.99055099,4958649,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/9/2009,20.30012321,7828001,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/13/2009,19.97721481,5688583,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/14/2009,19.52514648,6352304,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/15/2009,19.21300125,7218096,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/16/2009,19.70095062,9871660,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/17/2009,19.79064751,7762315,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
4/20/2009,19.08383179,5156762,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356
