Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,35.12817383,18517700,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/1/2009,35.42201233,13730300,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/2/2009,35.3752861,17418900,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/3/2009,34.82762909,15213700,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/6/2009,34.86103058,12768700,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/7/2009,34.30004501,13130100,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/8/2009,34.36016083,10935000,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/9/2009,34.33345032,15056300,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/13/2009,34.15980911,12067200,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/14/2009,34.30673599,20768400,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/15/2009,34.57387161,11502500,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/16/2009,34.86103058,12216300,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/17/2009,35.42869186,17691800,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/20/2009,35.04134369,15308900,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/21/2009,35.03465271,12236500,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/22/2009,34.17983627,13348300,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/23/2009,34.32675934,14595000,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/24/2009,34.00619507,14767300,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/27/2009,33.96612167,13055900,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/28/2009,33.82588959,12084100,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/29/2009,34.07966614,18496500,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
4/30/2009,34.96789169,20004600,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/1/2009,35.12149048,12504500,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/4/2009,35.90285492,15114500,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/5/2009,36.30355835,13320600,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/6/2009,36.20337296,16616500,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/7/2009,36.65751648,15243000,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/8/2009,36.71761703,13030600,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/11/2009,36.13658905,13073000,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/12/2009,36.7309761,11826000,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/13/2009,36.83114243,10972400,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/14/2009,36.74432373,11986300,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/15/2009,37.00479126,16430700,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/18/2009,37.43219757,12879100,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/19/2009,37.32532883,13350400,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/20/2009,37.31199265,13729800,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/21/2009,37.0492363,12492700,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/22/2009,36.90099716,7425900,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/26/2009,37.23113632,11389200,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/27/2009,36.5304451,12480300,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/28/2009,36.73930359,10890800,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
5/29/2009,37.16376877,12505200,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
6/1/2009,37.58148956,12454200,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876
