Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,21.50356483,6702000,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/1/2009,21.74170685,5483400,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/2/2009,21.81894493,6665800,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/3/2009,21.24610901,7122500,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/6/2009,21.13669205,6618900,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/7/2009,20.5188179,6031800,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/8/2009,20.81488419,5226900,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/9/2009,21.00797272,4984200,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/13/2009,20.96292305,3405300,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/14/2009,20.69259262,5248600,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/15/2009,21.11739349,6155300,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/16/2009,21.41345978,4967300,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/17/2009,21.72239876,6670400,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/20/2009,21.23323441,9799300,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/21/2009,21.45851326,6409700,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/22/2009,21.07233238,11129900,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/23/2009,21.16244316,8591400,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/24/2009,21.24610901,8328100,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/27/2009,21.32334709,4168700,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/28/2009,21.36839867,7663500,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/29/2009,21.47137642,6750000,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
4/30/2009,21.18818665,8283200,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
5/1/2009,21.55505371,5411900,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
5/4/2009,21.76101494,5363100,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
5/5/2009,22.23086548,8330900,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
5/6/2009,22.16006279,5696700,4.046984098,6.204786019,19.41025491,6.72,2.545007278,10.26,1.4,7.71,1.05,18.87,2.44,49.07604626,16.26918915,5.728051065,77.39324851,7.36,7.73,4.430653154,3794.626139,8744.511862,5436.012645,4379.577181,1185.117151,1557.57904,1060.690644,0.964823986,1.262061759,2.905398389,8.69317072,27.12324033
