Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,15.74615192,22948370,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/1/2009,15.88743591,18880244,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/2/2009,15.89331818,18833608,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/3/2009,15.57544804,16227232,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/6/2009,15.69906616,13312430,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/7/2009,15.46361065,13959779,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/8/2009,15.75204182,11073168,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/9/2009,15.48126793,15819979,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/13/2009,15.33410645,11654494,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/14/2009,15.11630726,13162042,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/15/2009,15.45183372,16521406,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/16/2009,15.21637726,19463980,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/17/2009,15.14574146,19709212,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/20/2009,14.84553814,13786650,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/21/2009,13.85661602,42417590,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/22/2009,13.52109337,55546934,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/23/2009,13.67413902,37293290,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/24/2009,13.80364132,23124749,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
4/27/2009,13.79775715,16986718,5.61634427,5.452910348,12.66063391,10.43,0.380994968,26.19,1.95,24.06,1.79,24.54,1.12,44.28836525,23.24623006,1.815640194,115.0137308,13.42,22,12.88627465,16140.79961,26034.08801,6192.36792,4903.1621,1261.048247,2233.021025,2997.119935,1.273263867,1.753176016,1.167156528,25.87578751,113.3882527
