Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,7.763771534,60384398,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
4/1/2009,7.974681377,67774519,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
4/2/2009,7.849271297,63696382,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
4/3/2009,7.723871231,55777048,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
4/6/2009,7.815073013,62792893,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
4/7/2009,7.701066494,52777680,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
4/8/2009,7.683969021,44234799,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
4/9/2009,7.723871231,57995612,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
4/13/2009,7.683969021,44054249,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
4/14/2009,7.604161739,61154450,1.286689651,9.033430623,6.514926848,8.96,2.84033864,54.25,2.32,49.8,2.13,62.49,1.03,12.38093846,5.728661073,-20.98864287,197.2936674,23.34,60.44,8.69490449,42956.31694,64529.60718,11683.13387,10434.15919,3283.681974,5047.286134,2070.375619,0.291165862,1.465862343,0.949842805,6.54341096,206.8912668
