Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,3.200220823,570080000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/1/2009,3.308904171,589372000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/2/2009,3.431286812,812366800,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/3/2009,3.531140566,636241200,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/6/2009,3.606030464,658064400,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/7/2009,3.501001835,536580800,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/8/2009,3.541187286,455630000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/9/2009,3.640129089,530756800,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/13/2009,3.659916878,389236400,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/14/2009,3.601770401,454622000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/15/2009,3.58137393,412882400,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/16/2009,3.6973629,593446000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/17/2009,3.75733614,497495600,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/20/2009,3.66844058,466466000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/21/2009,3.706798792,470685600,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/22/2009,3.699188709,938767200,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/23/2009,3.817613602,945156800,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/24/2009,3.77194953,540764000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/27/2009,3.797216415,480690000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/28/2009,3.77194953,455856800,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/29/2009,3.809698582,458110800,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
4/30/2009,3.830705166,498489600,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/1/2009,3.873630285,397516000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/4/2009,4.020672321,609358400,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/5/2009,4.040155411,398255200,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/6/2009,4.033762455,473538800,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/7/2009,3.929036617,531776000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/8/2009,3.932994604,467964000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/11/2009,3.944563627,404658800,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/12/2009,3.787779808,609481600,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/13/2009,3.637693405,595971600,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/14/2009,3.743027449,447826400,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/15/2009,3.72689271,367567200,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/18/2009,3.855668306,458841600,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/19/2009,3.880022764,372422400,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/20/2009,3.831923485,388584000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/21/2009,3.780471563,407946000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/22/2009,3.729328632,297998400,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/26/2009,3.981398821,636927200,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/27/2009,4.050508499,646422000,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/28/2009,4.11200285,487552800,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
5/29/2009,4.134531498,456534400,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
6/1/2009,4.242301941,452499600,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
6/2/2009,4.246563435,456223600,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
6/3/2009,4.29101038,565199600,0.254001084,19.77562455,1.480120072,0.97,0.601255531,33.85,2.46,33.54,2.44,18.93,0.78,30.04937758,17.33324152,30.77378411,30.59703758,13.75,24.31,7.436799781,24503.36078,24058.62635,11804.58955,4728.64388,3431.931706,3593.406668,2457.580154,0.104447713,3.493669364,4.516931444,12.66154527,50.6094309
