Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
8/6/2009,11.92092419,24197800,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/7/2009,12.10511875,2454300,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/10/2009,11.76620197,2421000,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/11/2009,11.54517174,2305400,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/12/2009,11.78830242,1451300,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/13/2009,12.19352818,1150600,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/14/2009,12.23036671,637800,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/17/2009,11.95039368,254400,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/18/2009,12.5766468,1446700,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/19/2009,13.18079472,2070800,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/20/2009,13.08502007,1882100,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/21/2009,13.12922382,863600,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
8/24/2009,12.89345932,1021600,1.300122152,13.35978769,7.551044178,4.452833029,1.191002678,0.62,2.45,0.46,1.85,1.02,1.34,-12.88465037,-6.007103158,0.247918525,-73.10214154,0.25,0.76,-0.041160759,254,758,363,141,24,65,2,0.01,2.215163965,3.005669178,11.81417842,1.971818348
