Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,11.90887737,59050200,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
4/1/2009,12.39886475,73415300,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
4/2/2009,12.88175201,88337600,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
4/3/2009,12.8959589,59472600,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
4/6/2009,12.44857693,63355500,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
4/7/2009,11.96568489,59902600,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
4/8/2009,12.16452217,45389100,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
4/9/2009,12.65451622,53094200,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
4/13/2009,12.70422173,33965000,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
4/14/2009,12.73262978,42813500,0.988645906,15.57299316,5.929100207,6.29,1.725952658,38,2.79,36.89,2.71,24.57,0.67,15.07628005,8.811043813,26.19856609,25.36475491,13.6,36.78,5.889843542,33149.17851,37114.04558,8180.155554,5433.768596,1728.004075,2194.268946,1515.764092,0.257872993,2.665818038,2.366485397,3.585266478,63.56989322
