Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,8.710209846,146065788,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/1/2009,8.861110687,131915952,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/2/2009,9.071572304,179340480,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/3/2009,9.253753662,151440408,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/6/2009,9.215214729,131080788,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/7/2009,8.975225449,147056796,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/8/2009,9.059059143,110497392,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/9/2009,9.321822166,135168696,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/13/2009,9.462211609,121881996,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/14/2009,9.231982231,137006856,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/15/2009,9.49699688,197030772,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/16/2009,9.728227615,406996596,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/17/2009,9.815815926,428802768,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/20/2009,9.491991997,176978844,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/21/2009,9.54629612,147668184,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/22/2009,9.606105804,139931928,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/23/2009,9.626876831,104255640,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/24/2009,9.74699688,135280584,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/27/2009,9.658408165,91532376,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/28/2009,9.602352142,117626256,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/29/2009,9.796546936,144255600,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
4/30/2009,9.909158707,174053772,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
5/1/2009,9.85210228,97010892,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
5/4/2009,10.05955982,127991880,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
5/5/2009,10.08483505,95935968,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
5/6/2009,10.09684658,105210684,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
5/7/2009,9.925174713,119872008,0.504560855,31.73351005,1.730102125,2.36,0.671768926,22.08,10.11,0,0,3.67,0.12,19.87832989,17.89974772,26.23808984,24.19490086,2.18,29.85,6.02290463,18832.94756,31511.68787,5516.334166,3400.817539,1855.405153,2245.767046,1438.098089,0.120745127,8.64127318,5.711204234,22.83556345,31.82416584
