Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,13.82886696,92423300,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/1/2009,14.53649426,96438900,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/2/2009,14.52144051,99082300,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/3/2009,14.11492634,81858400,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/6/2009,14.12245274,47476100,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/7/2009,14.12245274,65815200,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/8/2009,14.44616127,56408900,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/9/2009,14.80751133,55759600,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/13/2009,14.74727345,44444700,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/14/2009,14.56660271,63796300,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/15/2009,14.17515373,72725500,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/16/2009,14.87525654,67688700,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/17/2009,14.45368481,61398500,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
4/20/2009,14.00954151,62937200,1.715935026,12.81139375,6.206958944,4.15,2.965957337,40.72,1.71,40.07,1.68,31.91,0.86,39.97827546,20.6316783,30.51939801,62.10049583,23.82,36.94,15.15211362,31005.73202,39615.1367,12411.90954,10128.04476,4802.848701,4791.371161,4062.471779,0.481226767,3.45631525,4.821683715,8.500585412,78.69413279
