Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,2.262259007,80527200,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
4/1/2009,2.319618225,88792000,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
4/2/2009,2.427453995,100286000,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
4/3/2009,2.597238302,100320800,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
4/6/2009,2.604121447,88728800,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
4/7/2009,2.514641047,60780400,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
4/8/2009,2.617887974,73165200,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
4/9/2009,2.762434483,90441200,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
4/13/2009,2.672953129,76762800,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
4/14/2009,2.689014196,71196000,-0.214520378,-31.62643139,1.024931498,1.11,0.067298311,2.17,2.78,1.63,2.09,0.96,0.4,-25.03173662,-16.62735005,1.877015156,-35.25935118,0.78,2.4,-0.580315445,1298.459786,2369.301968,609.5889454,118.447775,-223.51555,-171.8666831,-193.8917377,-0.083454632,2.190345163,2.502709251,26.99731251,3.233105601
