Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets
3/31/2009,15.03382778,34583400,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/1/2009,15.4581356,37135900,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/2/2009,15.65781212,46061500,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/3/2009,16.04884148,40966900,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/6/2009,15.94040775,29302100,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/7/2009,15.46495342,29049200,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/8/2009,15.48997116,25522400,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/9/2009,15.94040775,25806100,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/13/2009,15.89869118,21743200,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/14/2009,15.74021339,30604400,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/15/2009,15.50665188,28350500,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/16/2009,15.99878883,30286800,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/17/2009,15.89869118,32850100,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/20/2009,15.69850445,84059500,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
4/21/2009,16.29074097,66973800,1.174555352,16.22729762,4.846682856,4.63,1.977025585,15.61,1.96,0,0,21.87,0.95,21.77196839,11.89043922,2.111514351,7593.415319,7.97,23.08,5.936211439,12205.03735,24757.84294,6455.70317,5077.715668,2017.208908,2624.157727,1406.05306,0.282728716,3.702732491,3.371203181,10.33536709,54.01719911
